event_id,ticker,event_date,entry_date,beta_source,alpha,beta,n_est_obs,vol_z,tone_z,direction,CAR_t1,CAR_t5,CAR_t20,AR_d1,AR_d2,AR_d3,AR_d4,AR_d5,AR_d6,AR_d7,AR_d8,AR_d9,AR_d10,AR_d11,AR_d12,AR_d13,AR_d14,AR_d15,AR_d16,AR_d17,AR_d18,AR_d19,AR_d20
BIOCON_2023-07-04,BIOCON,2023-07-04,2023-07-05,market_model,-0.001099703498327215,0.41930997206567416,120,15.441960919907627,2.5062070694144536,1.0,0.0061241365360372255,0.0174076743083039,0.006622251875984045,0.0061241365360372255,-0.011148017933497435,0.003526296182554024,-0.002670247471778386,0.02157550699498847,-0.007284213207841435,0.01730421573924994,0.007073731149040941,0.005949299290720331,0.0019492715855629283,-0.004039191002970411,-0.00263311508871426,-0.053655470919139366,-0.014423776605054634,0.014170444461254239,0.029926954577897055,0.003930055965365489,0.00016852370565952567,-0.00353946997116349,-0.005682682112186702
BIOCON_2023-07-06,BIOCON,2023-07-06,2023-07-07,market_model,-0.0009176609272894537,0.4096569194385016,120,5.483911210417497,1.559930077892727,1.0,0.003356279905177292,0.03165684657664356,0.012871134682163922,0.003356279905177292,-0.002810737013310865,0.021366064677399828,-0.0074516016966615275,0.017196840704038832,0.006963921849986659,0.0057857507174875825,0.0018081510450776968,-0.004150433747131319,-0.002928957058789302,-0.053873096747050174,-0.014601771820713861,0.014036204361741626,0.029686951521766772,0.0037412108105097817,3.927925300862309e-05,-0.003731413147083631,-0.0059665176145108035,0.010274385443790885,-0.005869376762570169
BIOCON_2024-10-31,BIOCON,2024-10-31,2024-11-01,market_model,0.0012859939949051186,1.0295623645568082,120,6.728557597935446,0.1149861271762755,1.0,-0.010063427622986804,0.011159101818672603,0.13025993979001452,-0.010063427622986804,0.004725748354487748,0.00966089787409756,0.026581762432903385,-0.019745879219829284,0.08084491241917965,0.006322567456576211,-0.034192162302889365,0.012603373575796873,-0.02944249930809162,0.0010891571910463561,-0.006029739010179945,9.352162437229958e-05,-0.0002235001976021514,0.047203102911747355,0.012169192420058941,0.028798844699416924,-0.007292440528215196,0.020098920557676966,-0.012942413537551413
BIOCON_2024-12-24,BIOCON,2024-12-24,2024-12-26,market_model,0.0006948496287710682,1.2247129033061934,120,5.632380183453387,2.925698085012884,1.0,0.013504239930085279,0.048632374137375915,0.151479209754374,0.013504239930085279,0.05007684228234684,-0.007101269940063092,0.003633093446605497,-0.011480531581598603,-0.002122626985881969,-0.011362856045122677,0.06007534518699122,-0.0293109271684569,0.006384821853818981,-0.02239317122499518,0.02920653978521438,0.05419221067522831,-0.017207736705597235,0.022753802796742034,0.006421984921047922,0.011599327045190037,-0.01156165740711005,-0.01404907723125727,0.020220856121186504
BIOCON_2025-12-24,BIOCON,2025-12-24,2025-12-26,market_model,0.0009021612789386426,0.9994134133462711,120,11.270112508530522,1.2076773772122986,1.0,-0.009901892343051933,-0.021778124115707495,-0.06365059818745145,-0.009901892343051933,-0.0007769479339040766,0.0007004246006787826,-0.01728661312267337,0.0054869046832431,-0.0020075643939913464,-0.014141826641017282,0.0054686896331929274,-0.014553367058448851,0.010957265697346103,-0.025817214587639144,0.016030483004922522,0.0061874541112778795,-0.005589421537615991,-0.0009051225546057046,-0.011786399160639501,-0.003393798900174835,0.015943950113676306,-0.009721377659830398,-0.008544224138196634
LUPIN_2024-12-31,LUPIN,2024-12-31,2025-01-01,market_model,0.0018206576806400574,0.6011341548345988,120,7.739735363919328,0.7761675610920867,1.0,0.00010501302414614791,-0.05658625987683282,-0.15563252956961793,0.00010501302414614791,-0.008670720391550119,0.004376989800798722,-0.005277547923059353,-0.04711999438716822,0.002626808337615766,-0.027180784623192563,-0.009757835516491262,-0.00409257609820672,-0.01487709717288322,-0.018466803507721653,0.0077527790425946114,0.0027705368356266925,-0.005988837879909709,0.011226010208590483,0.0025000003637027438,-0.00679285161900079,-0.02116195952929828,-0.032811121676240965,0.015207463142029757
COFORGE_2023-04-27,COFORGE,2023-04-27,2023-04-28,market_model,0.0009491865860200661,1.1705471284514524,120,6.482883446258912,-0.5448908173195142,-1.0,-0.0192450246492061,-0.034040286727463114,0.006341570147686257,-0.0192450246492061,-0.0048458610471237215,-0.010248788442678744,0.014167030225917343,-0.01386764281437189,0.0010870866762201774,0.0006068007371840614,6.263274578665172e-05,-0.011624135703821831,0.004802640313750928,0.023664936498080553,0.00815113859356578,0.0005258493705247937,0.011291007629775767,0.0133945967196027,-0.018414168779258083,-0.008420865978146695,0.006551089698852027,0.024882698027208244,-0.0161794496741757
MPHASIS_2023-04-17,MPHASIS,2023-04-17,2023-04-18,market_model,-0.00032376170190752374,1.1263424755845053,120,5.074140642357904,-0.6531691040867817,-1.0,0.0031074573875766484,-0.018863708233778788,0.01587004208472064,0.0031074573875766484,-0.014749797709565554,0.0014578066091422224,-0.0070791473401565245,-0.0016000271807755776,-0.002370389015613258,0.007499537580734321,0.007831769757685817,0.0205409310294295,-0.0007418971703871038,-0.014018896422963775,-0.0016803352877793627,0.004990267487656285,0.005294321216180532,0.0003029090797549605,0.00486170785759092,-0.011430659876823932,0.0019994933544052063,0.015286321938756429,-0.0036313312101271117
MPHASIS_2023-07-21,MPHASIS,2023-07-21,2023-07-24,market_model,-0.000753176563359995,1.287106755528829,120,5.790739170690222,0.2886362418724352,1.0,-0.0017684584240973446,0.008234255349518663,0.07457502313973158,-0.0017684584240973446,-0.011657104084551825,0.020167407052355403,-0.011846084450345792,0.013338495256158222,0.0019208695055788758,-0.024145543345701605,0.023232001289564853,0.0037954832389349123,0.024422358471741,0.006774109762053498,0.006545641144161448,0.0005190546369420413,0.0001069870959405951,0.01647686319817754,-0.023988523870948224,0.01834519231343686,-0.016677360245029242,0.006422782733602888,0.022590851861757466
MPHASIS_2023-10-03,MPHASIS,2023-10-03,2023-10-04,market_model,0.00014917019974691216,1.4886821755356763,120,3.915790409504024,2.573202953534104,1.0,0.009400166721357184,-0.014166537125806148,-0.08353328697316274,0.009400166721357184,-0.0003528467819736425,0.004137213995554164,-0.011531451880003355,-0.0158196191807405,-0.002198637681509208,-0.029886016305356256,-0.005746464515313285,-0.035724289152745316,-0.005202295884892835,0.0058023284189313035,-0.03497456456808184,-0.002794606441007697,0.015260615835451255,0.010104934338704064,-0.01083160069644945,0.006941739267540015,-0.005471512138946118,0.015716299110154784,0.009637320566163992
