ticker,event_date,v,vol_z,tone,tone_z,direction
BIOCON,2023-07-04,7.0,15.441960919907627,1.4541,2.5062070694144536,1.0
BIOCON,2023-07-06,5.0,5.483911210417497,1.0375,1.559930077892727,1.0
BIOCON,2024-10-31,5.0,6.728557597935446,0.8191,0.11498612717627556,1.0
BIOCON,2024-12-24,5.0,5.632380183453387,4.043,2.925698085012884,1.0
BIOCON,2025-12-24,6.0,11.270112508530522,2.1701,1.2076773772122986,1.0
LUPIN,2024-12-31,6.0,7.739735363919328,0.9387,0.7761675610920867,1.0
COFORGE,2023-04-27,6.0,6.482883446258912,-0.344,-0.5448908173195142,-1.0
MPHASIS,2023-04-17,13.0,5.074140642357904,-0.5116,-0.6531691040867817,-1.0
MPHASIS,2023-07-21,9.0,5.790739170690222,0.717,0.28863624187243525,1.0
MPHASIS,2023-10-03,7.0,3.9157904095040235,3.4877,2.573202953534104,1.0
MPHASIS,2023-12-07,7.0,3.7653577745675135,2.5072,1.432971697942631,1.0
MPHASIS,2024-03-22,8.0,5.243759617428421,-1.3583,-1.552706599382922,-1.0
MPHASIS,2024-04-06,6.0,3.5821289443898325,0.3181,-0.42490905182334976,-1.0
MPHASIS,2024-04-25,7.0,4.137022092507982,1.2787,0.38840783963564435,1.0
MPHASIS,2024-06-10,20.0,11.88170467239295,0.9756,0.22762557883849585,1.0
MPHASIS,2024-09-18,11.0,4.023561192466761,0.0485,-0.5216677579222804,-1.0
MPHASIS,2025-01-23,6.0,3.033330650834319,0.959,0.22822806452095493,1.0
MPHASIS,2025-03-20,8.0,4.100135499115986,0.4833,0.07592255215763001,1.0
MPHASIS,2025-04-03,8.0,3.871462794162285,-2.11,-1.3607604772986193,-1.0
MPHASIS,2025-07-28,7.0,4.164735629212857,-1.0224,-1.0015206772739937,-1.0
MPHASIS,2025-08-21,7.0,4.122168882511927,1.2981,0.9192867577239489,1.0
MPHASIS,2025-09-22,17.0,9.640392871724128,-0.7467,-1.1269859062335692,-1.0
IDFCFIRSTB,2023-05-02,21.0,3.6798285598805514,1.7885,0.4596413310342783,1.0
IDFCFIRSTB,2023-06-22,13.0,3.0920623924523425,1.0822,0.030239774446873702,1.0
IDFCFIRSTB,2023-07-04,31.0,7.799481459136752,1.7512,0.33596002620290066,1.0
IDFCFIRSTB,2023-10-30,12.0,4.049505354630022,1.7354,0.3247017892180538,1.0
IDFCFIRSTB,2023-11-15,10.0,3.009395590081283,1.4719,0.2689217746638612,1.0
IDFCFIRSTB,2024-03-19,9.0,3.180880955628192,5.0294,2.384186212377147,1.0
IDFCFIRSTB,2024-03-22,10.0,3.226623684135667,0.6589,-0.11470287095525032,-1.0
IDFCFIRSTB,2024-03-28,19.0,6.940587651808002,1.2012,0.19143253774713412,1.0
IDFCFIRSTB,2024-04-29,16.0,4.531231133687052,1.5315,0.4217941422222862,1.0
IDFCFIRSTB,2024-05-21,17.0,4.165189398476118,0.9113,0.15395958861226017,1.0
IDFCFIRSTB,2024-07-04,16.0,4.1115310236426215,1.1451,0.25979259380831976,1.0
IDFCFIRSTB,2024-08-26,11.0,3.1093160674488383,1.017,-0.1431177780428094,-1.0
IDFCFIRSTB,2024-10-28,20.0,6.029070734211274,0.5349,-0.42311381699923195,-1.0
IDFCFIRSTB,2025-01-27,15.0,4.835329442516812,0.0171,-0.3400583495255371,-1.0
IDFCFIRSTB,2025-04-02,11.0,3.1730683014390446,0.7781,-0.01459102862449833,-1.0
IDFCFIRSTB,2025-04-17,28.0,8.601019411207094,1.8412,0.5441007278703349,1.0
IDFCFIRSTB,2025-08-18,17.0,4.96658063211411,3.1384,1.2257896359705633,1.0
IDFCFIRSTB,2025-11-06,16.0,4.359206707132431,0.0932,-0.4379598826268786,-1.0
IDFCFIRSTB,2025-12-08,14.0,3.7920975342164738,2.9347,0.915868227327729,1.0
INDUSINDBK,2023-10-03,7.0,6.787864172976564,1.1934,0.7459625708638096,1.0
