ticker,event_date,v,vol_z,tone,tone_z,direction,novelty_days,intensity_percentile
ABCAPITAL,2026-02-11,6.0,12.353046134780476,1.1158,3.3886408278599083,1.0,,95.45454545454545
ASHOKLEY,2024-02-01,7.0,7.962528185596868,-1.0815,-1.1964788163086884,-1.0,,85.9504132231405
BHARATFORG,2023-11-07,5.0,5.1524123206367465,1.4395,0.9457501894626186,1.0,,58.264462809917354
BHARATFORG,2024-02-12,5.0,5.279303721572294,2.0344,1.3359800823609875,1.0,97.0,61.15702479338843
BHARATFORG,2024-03-13,6.0,5.558999207401118,-1.0497,-1.497778379838648,-1.0,30.0,64.87603305785125
BHARATFORG,2025-10-16,5.0,12.6453320187612,4.6859,3.8686705437924407,1.0,582.0,95.86776859504133
BHARATFORG,2025-12-30,7.0,9.688589379901243,-0.2774,-0.4447811282922897,-1.0,75.0,90.49586776859505
BIOCON,2023-07-04,7.0,15.441960919907627,1.4541,2.5062070694144536,1.0,,97.52066115702479
BIOCON,2023-07-06,5.0,5.483911210417497,1.0375,1.559930077892727,1.0,2.0,64.0495867768595
BIOCON,2024-10-31,5.0,6.728557597935446,0.8191,0.1149861271762755,1.0,483.0,76.03305785123968
BIOCON,2024-12-24,5.0,5.632380183453387,4.043,2.925698085012884,1.0,54.0,65.70247933884298
BIOCON,2025-12-24,6.0,11.270112508530522,2.1701,1.2076773772122986,1.0,365.0,93.80165289256199
CESC,2025-09-23,16.0,33.14100067779979,-5.2206,-7.519153795565717,-1.0,,99.17355371900827
COFORGE,2023-04-27,6.0,6.482883446258912,-0.344,-0.5448908173195142,-1.0,,73.55371900826447
COLPAL,2023-05-12,5.0,4.17413156494618,0.3756,-0.1189666325399656,-1.0,,40.909090909090914
COLPAL,2023-05-25,5.0,3.398748025189657,2.0875,1.5846353042292398,1.0,13.0,19.834710743801654
COLPAL,2023-07-27,6.0,4.381143175299447,1.3291,1.0620564430020951,1.0,63.0,45.45454545454545
COLPAL,2023-10-31,8.0,10.341005679692556,-1.1535,-1.80180571675438,-1.0,96.0,92.14876033057851
COLPAL,2024-03-15,5.0,6.064407663956238,1.5317,1.3061931784018568,1.0,136.0,71.48760330578513
